sample,input,lowpass,64_125,125_250,250_500,500_1k,1k_2k,2k_4k,4k_8k,8k_16k,highpass
0,0,x,x,x,x,x,x,x,x,x,x
1,0,x,x,x,x,x,x,x,x,x,x
2,0,x,x,x,x,x,x,x,x,x,x
3,0,x,x,x,x,x,x,x,x,x,x
4,0,x,x,x,x,x,x,x,x,x,x
5,0,x,x,x,x,x,x,x,x,x,x
6,0,x,x,x,x,x,x,x,x,x,x
7,0,x,x,x,x,x,x,x,x,x,x
8,0,x,x,x,x,x,x,x,x,x,x
9,0,x,x,x,x,x,x,x,x,x,x
10,0,x,x,x,x,x,x,x,x,x,x
11,0,x,x,x,x,x,x,x,x,x,x
12,0,x,x,x,x,x,x,x,x,x,x
13,0,x,x,x,x,x,x,x,x,x,x
14,0,x,x,x,x,x,x,x,x,x,x
15,0,x,x,x,x,x,x,x,x,x,x
16,0,x,x,x,x,x,x,x,x,x,x
17,0,x,x,x,x,x,x,x,x,x,x
18,0,x,x,x,x,x,x,x,x,x,x
19,0,x,x,x,x,x,x,x,x,x,x
20,0,x,x,x,x,x,x,x,x,x,x
21,0,x,x,x,x,x,x,x,x,x,x
22,0,x,x,x,x,x,x,x,x,x,x
23,0,x,x,x,x,x,x,x,x,x,x
24,0,x,x,x,x,x,x,x,x,x,x
25,0,x,x,x,x,x,x,x,x,x,x
26,0,x,x,x,x,x,x,x,x,x,x
128,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
129,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
130,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
131,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
132,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
133,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
134,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
135,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
136,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
137,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
138,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
139,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
140,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
141,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
142,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
143,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
144,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
145,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
146,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
147,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
148,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
149,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
150,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
151,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
152,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
153,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
154,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
155,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
156,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
157,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
158,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
159,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
160,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
161,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
162,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
163,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
164,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
165,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
166,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
167,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
168,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
169,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
170,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
171,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
172,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
173,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
174,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
175,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
176,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
177,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
178,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
179,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
180,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
181,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
182,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
183,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
184,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
185,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
186,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
187,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
188,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
189,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
190,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
191,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
192,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
193,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
194,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
195,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
196,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
197,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
198,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
199,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
200,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
201,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
202,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
203,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
204,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
205,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
206,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
207,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
208,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
209,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
210,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
211,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
212,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
213,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
214,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
215,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
216,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
217,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
218,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
219,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
220,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
221,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
222,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
223,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
224,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
225,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
226,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
227,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
228,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
229,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
230,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
231,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
232,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
233,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
234,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
235,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
236,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
237,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
238,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
239,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
240,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
241,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
242,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
243,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
244,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
245,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
246,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
247,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
248,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
249,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
250,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
251,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
252,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
253,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
254,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
255,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
256,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
257,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
258,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
259,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
260,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
261,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
262,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
263,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
264,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
265,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
266,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
267,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
268,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
269,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
270,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
271,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
272,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
273,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
274,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
275,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
276,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
277,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
278,4194304,-7949312,-7972352,-8053760,-8371200,7249408,3988992,379904,-9216,-3584,-2304
