sample,input,lowpass,64_125,125_250,250_500,500_1k,1k_2k,2k_4k,4k_8k,8k_16k,highpass
487,-4948843,-716927,-720808,-731580,-772556,-934543,-1530305,-2848891,-608325,-525673,-1823169
488,7487214,-945861,-948981,-960303,-1004146,-1178133,-1831938,-3000904,-583484,-135407,2037492
489,5131616,-1136031,-1138139,-1148138,-1189218,-1353322,-1954331,-2622735,-761231,1091101,-1354917
490,-6529307,-1188096,-1193417,-1206671,-1257126,-1447028,-1970977,-1829237,-748958,-31989,19361
491,2157096,-1147110,-1152141,-1168977,-1234539,-1459021,-1871952,-856812,-132567,-1476318,1350721
492,3112292,-1256720,-1259225,-1266898,-1297246,-1397491,-1485654,-35731,1007251,-51325,-2087121
493,-4966615,-1231826,-1233720,-1236465,-1247650,-1271778,-1109567,597095,1853142,1242817,1812892
494,-1134879,-1088815,-1089357,-1091462,-1098159,-1097021,-790101,960254,1619128,122687,-676144
495,-4435337,-1000486,-999278,-995816,-977892,-894786,-422256,986993,273943,-631648,-674810
496,1381742,-906949,-903342,-892439,-849830,-683721,-98585,787736,-1311089,-104571,1470071
497,-5573247,-735351,-731790,-718331,-669342,-481516,99304,506048,-1939810,511704,-1315176
498,-6309419,-607569,-603194,-587134,-526326,-303897,266770,202031,-1074169,83205,451891
499,3659112,-555082,-548385,-527889,-444444,-160005,427778,-49519,590926,-1252281,442556
500,6451696,-495956,-488774,-465367,-373992,-64394,520046,-162428,1660789,-315319,-694052
501,7864490,-385932,-380172,-360037,-283998,-19484,507592,-97920,1255325,2206898,80640
502,-6307057,-357513,-352557,-334124,-264665,-22810,496949,79315,-209658,1016064,1054740
503,-2340623,-268421,-264412,-254875,-215740,-68532,367267,392725,-1498933,-2488953,-2033317
504,-6570883,-423175,-420287,-406268,-350958,-153160,372314,643091,-1508191,-1981888,2268031
505,3052942,-479268,-475463,-464254,-423186,-266964,218870,891024,-404407,2074028,-1582190
506,6413538,-620816,-617752,-606552,-561820,-399205,75419,953789,863527,2476232,333240
507,6704444,-685032,-683407,-676560,-646362,-538598,-182855,822936,1335586,-1521418,799461
508,-4856151,-638077,-637727,-640893,-651304,-674191,-555241,484144,949349,-2008738,-1245460
509,-1330705,-725245,-728418,-731286,-747684,-795417,-798728,-119277,414625,1344856,843693
510,-1585061,-846308,-846866,-848642,-857870,-890513,-972366,-814526,179428,941117,95070
511,-6144849,-867345,-868658,-873369,-891043,-956052,-1149157,-1385398,-22642,-1618020,-986571
