sample,input,lowpass,band_64_125,band_125_250,band_250_500,band_500_1k,band_1k_2k,band_2k_4k,band_4k_8k,band_8k_16k,highpass
323,-4294922,6458830,6463807,6464317,6473571,6332749,4293550,-2412125,8654037,16295590,5245721
324,4803839,7513973,7516159,7507226,7456760,7225470,5705837,-1128830,-431328,9986999,-2606727
325,-5553843,6989538,7001357,7054242,7261726,7912165,8259175,309819,-10454742,-8275842,-1600108
326,-6358157,6489132,6519637,6615874,7001009,8273605,10294663,2868641,-15029425,-10132249,3654048
327,6142033,6946946,6976300,7041919,7289969,8234521,10719601,6846446,-10708324,-3115406,-2476276
328,6070804,6888235,6896977,6936427,7083453,7752782,10548499,10966180,84966,8789831,-367600
329,-4400554,5101630,5122756,5206619,5541472,6791192,10638550,13649585,10572472,12218771,2147614
330,-4050132,3435865,3477462,3574040,3957927,5365896,9418134,14577336,14478054,-5735428,-827606
331,-6973763,1105301,1127903,1260489,1771083,3542682,7716406,12618280,10998963,-17988060,-3508684
332,-691003,-203604,-181826,-94054,237535,1403043,4310387,8439868,2868792,3750489,8644684
333,-44051,-1982174,-1954613,-1900781,-1686593,-956327,795942,2139327,-4864514,20797988,-11155032
334,-4521145,-4660341,-4649042,-4580120,-4307489,-3430816,-2107988,-5051283,-8401106,-5370884,8481155
335,5732180,-5991268,-5984379,-5979794,-5975630,-5923452,-6003581,-10470466,-7192177,-17965829,-1499319
336,7199566,-8116335,-8117551,-8128247,-8169282,-8294788,-8776018,-13647604,-2738096,9118442,-5242442
337,-3160382,-10246965,-10255511,-10268946,-10308868,-10455053,-10882964,-13603099,556107,5993780,6793329
338,4890679,-11307869,-11316710,-11376385,-11609355,-12327177,-13103192,-10254883,-563527,-10988583,-2024404
339,-6443979,-13494060,-13504413,-13522902,-13593500,-13804268,-13486975,-5848150,-3995077,12056197,-4884255
340,6889358,-14192691,-14206322,-14242720,-14375407,-14773454,-14224311,-1018705,-5004074,9697182,7990101
341,752506,-14570149,-14585653,-14622426,-14766749,-15172091,-14344832,2066369,790948,-25707373,-4810571
342,-5843961,-14821669,-14837103,-14850307,-14902356,-15020554,-13712756,2316486,11019357,-7723700,-1368855
343,81841,-14019575,-14025228,-14049392,-14139973,-14355311,-13201149,150702,17176874,26781318,4575883
344,-6154024,-13601942,-13602563,-13588233,-13529417,-13257365,-11647149,-4078003,12486384,7621929,-1647088
345,3047509,-12576063,-12564442,-12531226,-12381629,-11807947,-9970877,-8288790,-2213019,-18577606,-5014140
346,5541731,-11109605,-11089001,-11038361,-10844177,-10108405,-8137395,-10779730,-17286683,-8318967,9715304
347,7840505,-8887923,-8874505,-8843280,-8736102,-8264384,-6539306,-10115491,-22168615,11298069,-8310806
348,7763987,-6812773,-6812982,-6792377,-6726624,-6358280,-4598166,-6338686,-13577349,7356277,1539247
349,3380947,-4735855,-4724171,-4718730,-4679485,-4418602,-2641079,-196294,1676340,-10027913,6100145
350,-6027483,-3496386,-3478342,-3432401,-3219451,-2464520,-81642,6148089,13136836,-6077467,-9289023
351,-2390461,-966829,-976265,-950994,-858303,-502508,1174710,11404934,14303281,11658976,5525834
352,-616787,1598908,1601906,1598056,1559073,1465585,2110814,13218803,8145164,7537518,3675748
353,1177252,3580867,3571651,3569735,3557715,3459854,3339967,10552817,2461591,-10197474,-14001740
354,113063,5936353,5926955,5901741,5821482,5450368,4055806,4561880,1845139,-10828233,20402385
355,4649771,8557880,8545104,8488031,8244505,7364227,4457870,-2810372,3846452,4417314,-19647959
356,-4580476,9578693,9573204,9559050,9503896,9172814,6184093,-9708375,2061530,10303429,11965732
357,-6124175,11059183,11064779,11057673,11033861,10762794,7473752,-12863940,-7535455,1536832,-883596
358,2757528,13047106,13046693,12996079,12816280,12075681,8287643,-11041609,-19767176,-3987235,-8704188
359,4361193,13823571,13811541,13783041,13647897,13079796,9977285,-5275568,-23249457,-2852403,12834576
360,-2603723,13602845,13610371,13630781,13695260,13771261,12170762,2824768,-11064207,-2011543,-10775474
361,3709689,14274713,14273436,14272170,14245998,14097128,13073102,11561683,11378503,-790203,5228113
362,8194583,14901793,14888811,14839512,14672251,14099510,13213344,18074996,29329526,241168,-364575
363,-6883701,14430983,14409081,14369658,14229989,13759881,13342502,20157874,29458087,5490875,-1020848
364,-6158072,13465116,13467577,13446131,13368867,13106220,12855197,17573924,10992316,7566000,-761498
365,5860709,13295065,13275300,13221355,12989882,12217653,10750735,11639977,-12853577,-7360485,3031193
366,5112564,13355110,13320219,13201315,12736391,11159874,7725768,3809313,-25034901,-11216322,-3825473
367,6088096,12734374,12700904,12552499,11990547,9998768,4887386,-4242553,-18267994,6423460,3424120
368,4561251,11956243,11914426,11754425,11125692,8857272,2182557,-10437573,-375750,3553450,-3387432
369,-26485,11792513,11734454,11530251,10730006,7834650,-614125,-13392208,13100740,-5577038,4305510
370,1546459,11305369,11238364,11021016,10182464,7053081,-2358965,-13450891,12256900,10837101,-4848585
371,499846,11868229,11797139,11524907,10478678,6649567,-3913665,-10854866,-402463,4983761,3593909
372,2309811,11784588,11702599,11449036,10439479,6722716,-3644032,-7666031,-11844318,-21169670,-1316655
373,4609641,12557890,12476802,12214354,11174158,7373150,-2838421,-4461581,-11327548,277196,222968
374,5132750,14190213,14106852,13813619,12672685,8580611,-1591833,-2028792,1113648,21088970,-1351041
375,6454325,15872093,15784497,15486073,14349927,10321504,563262,-841500,14616580,-12671320,2814749
376,-3005962,17813634,17728793,17443991,16344518,12479970,3172577,-429640,16663978,-14143629,-1825585
377,2608719,19974002,19904661,19636723,18596869,14939006,6004667,-216270,4371748,25451437,-2076508
378,5315239,22502895,22428231,22171778,21160592,17601472,8714454,371820,-12786173,7465516,5632405
379,-5246660,24189551,24130114,23932045,23158208,20325042,12143207,1022221,-20499438,-28178132,-5153360
380,-5719669,25768547,25735270,25597643,25060606,22960131,15533468,1982555,-12238924,-4266638,431907
381,1588312,27895385,27866006,27748101,27279453,25403450,18172076,3362932,5518992,18020311,4772387
382,-8213303,29505670,29470300,29378993,29017137,27492448,20793359,4533729,18897115,2694704,-6381569
383,5705871,31363090,31339167,31227596,30795958,29095179,22520345,5848496,17510822,-3339807,3463961
384,-5211041,31613725,31603055,31533180,31264269,30112221,24700481,6711025,3609193,-1308342,1136953
385,5569449,31973436,31945332,31878505,31588747,30451608,25679057,8135901,-11904266,-4854485,-4294507
386,430712,31354505,31344993,31284307,31031324,30074731,26117648,9850780,-17764679,1315006,4914309
387,-4510332,29395604,29399258,29380804,29317585,28949559,26221654,11547152,-11510036,2626612,-3641926
388,-2768719,27731074,27729213,27694094,27587728,27106736,24540903,13425971,140325,-4405280,1059006
389,-733349,25874365,25849413,25786981,25525295,24574325,21540743,14440785,9093650,6060579,2588561
390,-5416296,22539285,22530304,22479200,22274582,21469315,18487929,13199171,11942820,8447965,-6517642
391,-999487,19044234,19023097,18973561,18764506,17903003,14574838,9783785,9905583,-13956614,8312123
392,-2123134,15647333,15624236,15542284,15227986,14007295,9902050,4511048,5792803,-9491717,-5885279
393,4712746,12050778,12020580,11914015,11484533,9911375,5151748,-1827197,736527,15915968,-56499
394,5183391,7943002,7918258,7808330,7393607,5837744,914619,-7879285,-5280447,6278693,5506330
395,-5897252,4211511,4174910,4055263,3592171,1883072,-3217443,-11849519,-11226179,-12120447,-5759751
396,-1554424,1086288,1043365,887077,283494,-1835327,-7156996,-12827233,-13879809,-1606580,-890872
397,-550562,-2525802,-2564142,-2702013,-3248930,-5171325,-9788915,-11378288,-10037614,7021439,11367688
398,-280169,-5639274,-5681068,-5807014,-6292780,-8003538,-11769783,-8111428,-510083,-1560411,-20030168
399,-5617323,-8865512,-8889909,-8966805,-9256876,-10310039,-12535469,-4791182,10313072,-4785343,22311433
400,1188815,-11094861,-11110274,-11160095,-11362748,-12068601,-13037200,-2282283,16349758,3260587,-17448204
401,-4268803,-13044924,-13061452,-13076790,-13135149,-13299230,-12752256,-1573166,14277246,5160597,8545021
402,3308094,-14178331,-14182074,-14180943,-14180068,-14071902,-12338019,-2208028,4801724,-4635012,-320420
403,2397138,-14922934,-14907085,-14896215,-14827798,-14430847,-11635216,-3451034,-7231280,-6168749,-3503688
404,4150364,-15209480,-15208871,-15179999,-15072750,-14484408,-10890628,-4138324,-15613502,5844600,1931717
405,2375832,-15390454,-15369427,-15325354,-15142418,-14278433,-10043827,-3579382,-15781262,7725322,3143616
406,6167983,-14865711,-14853713,-14810624,-14655730,-13870443,-9661030,-1446069,-7707756,-6032039,-7831907
407,-6245078,-15063003,-15037450,-14955917,-14599513,-13255689,-8606839,946311,4339360,-11578712,8795850
408,-1325761,-13799235,-13789092,-13720933,-13472393,-12497175,-8661001,3287153,13055074,5639863,-5064568
409,-8138342,-13336809,-13306392,-13214555,-12852425,-11562714,-7846765,3436083,14495726,16124294,-1073171
410,4158805,-12112171,-12098818,-12003684,-11652292,-10451987,-7359714,1528780,8915543,-5007714,5856601
411,-3153278,-10758070,-10728463,-10646505,-10305259,-9160871,-6637089,-2228961,1017683,-16622902,-6879729
412,2159412,-8968243,-8955969,-8888478,-8644558,-7795507,-5868907,-6360918,-4851478,4128742,4937071
413,775488,-7949953,-7920829,-7836529,-7509999,-6364961,-4168489,-9512813,-7391419,10400890,-3085574
414,534717,-6179929,-6160468,-6097639,-5863570,-4983392,-2907227,-9511280,-8794810,-2186432,3831538
415,-4734794,-5976084,-5933733,-5821925,-5347363,-3712238,-343712,-6726102,-9672675,-2219515,-6856432
416,7679534,-4018334,-3996333,-3924838,-3657515,-2615012,552513,-355239,-9096455,149059,9503680
417,5054920,-3259556,-3234558,-3153966,-2851504,-1683101,2061014,6661785,-3362248,-1382491,-9371095
418,-5432176,-3011809,-2993167,-2881752,-2461738,-954756,3467868,12410870,7303327,1736409,6580408
419,6899185,-1502227,-1478552,-1429513,-1224391,-400315,3142233,15734076,17214210,-1508133,-3382907
420,6167112,-199356,-203654,-199615,-174206,46099,2363952,14927226,19438017,-3983236,2328853
421,7404308,1134096,1114235,1071267,916042,481980,1022573,10248087,10703053,6640542,-4278788
422,15756,2492357,2478823,2393448,2061267,974058,-662111,2935533,-4376776,6880530,8305776
423,4709021,4246945,4200621,4062944,3515333,1625762,-2625894,-5004616,-16283691,-9223347,-12573089
424,3408019,6338885,6282574,6080609,5302674,2556968,-4452305,-11709474,-17758085,-8163011,15181643
425,4554193,8338026,8275237,8043574,7142566,3860431,-5327088,-16055467,-9101758,8247552,-14792572
426,2483215,10394910,10331368,10087231,9152228,5651093,-5042342,-17422719,2607790,3873629,11436387
427,2844602,13606141,13512203,13230033,12101089,7934365,-4283414,-15615174,9410546,-5002088,-7065937
428,5400800,16904828,16818827,16501523,15273035,10751941,-2124118,-11865741,8711191,6352911,4514564
429,-8234535,19297469,19210165,18948639,17918562,14027999,2195537,-7598250,3422013,52474,-5351041
430,6346006,22911192,22839600,22571982,21538934,17709559,6533788,-2683047,-2333443,-17361717,7935858
431,3082308,26708478,26632847,26374775,25347408,21626170,11344381,1952933,-5221797,6077858,-8672548
432,2457578,29923600,29860692,29633049,28771334,25610432,16739382,5844187,-4594908,22834835,4848704
433,-4411680,32987109,32937443,32753437,32026415,29395523,21806978,9232760,-1649337,-11212405,2435943
434,2435824,35826917,35785453,35628240,35014623,32798716,26129592,12129276,1917918,-21249339,-9255162
435,-580123,38133070,38097512,37970859,37473187,35623545,29572595,14323673,4168141,11884414,11830602
436,-3415033,39558979,39540100,39450099,39099993,37704005,32162948,15446197,3720597,15788080,-9759194
437,-7130754,40145394,40133863,40081446,39868454,38906607,33735201,15309614,1036937,-8266293,5835879
438,7647661,40672612,40659012,40596490,40334511,39211805,33579078,14259416,-1584462,-9526165,-3539542
439,1650530,40776477,40751556,40647362,40249443,38640436,32074339,12382994,-1693718,4859050,3966604
440,3126402,39855044,39816364,39689883,39181309,37208060,29852810,9878767,533919,2599733,-5369557
