sample,input,lowpass,band_64_125,band_125_250,band_250_500,band_500_1k,band_1k_2k,band_2k_4k,band_4k_8k,band_8k_16k,highpass
108,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
109,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
110,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
111,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
112,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
113,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
114,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
115,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
116,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
117,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
118,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
119,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
120,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
121,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
122,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
123,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
124,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
125,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
126,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
127,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
128,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
129,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
130,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
131,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
132,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
133,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
134,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
135,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
136,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
137,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
138,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
139,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
140,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
141,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
142,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
