sample,input,lowpass,64_125,125_250,250_500,500_1k,1k_2k,2k_4k,4k_8k,8k_16k,highpass
195,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
196,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
197,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
198,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
199,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
200,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
201,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
202,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
203,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
204,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
205,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
206,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
207,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
208,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
209,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
210,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
211,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
212,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
213,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
214,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
215,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
216,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
217,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
218,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
219,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
220,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
221,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
222,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
223,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
224,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
225,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
226,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
227,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
228,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
229,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
230,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
231,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
232,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
233,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
234,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
235,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
236,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
237,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
238,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
239,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
240,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
241,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
242,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
243,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
244,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
245,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
246,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
247,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
248,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
249,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
