sample,input,lowpass,band_64_125,band_125_250,band_250_500,band_500_1k,band_1k_2k,band_2k_4k,band_4k_8k,band_8k_16k,highpass
142,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
143,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
144,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
145,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
146,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
147,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
148,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
149,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
150,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
151,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
152,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
153,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
154,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
155,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
156,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
157,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
158,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
159,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
160,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
161,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
162,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
163,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
164,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
165,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
166,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
167,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
168,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
169,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
170,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
171,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
172,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
173,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
174,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
175,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
176,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
177,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
178,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
179,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
180,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
181,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
182,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
183,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
184,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
185,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
186,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
187,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
188,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
189,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
190,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
191,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
192,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
193,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
194,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
195,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
196,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
197,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
198,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
199,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
200,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
201,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
202,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
203,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
204,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
205,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
206,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
207,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
208,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
209,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
210,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
211,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
212,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
213,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
214,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
215,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
216,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
217,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
218,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
219,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
220,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
221,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
222,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
223,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
224,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
225,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
226,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
227,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
228,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
229,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
230,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
231,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
232,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
233,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
234,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
235,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
236,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
237,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
238,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
239,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
240,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
241,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
242,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
243,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
244,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
245,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
246,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
247,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
248,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
249,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
250,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
251,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
252,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
253,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
254,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
255,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
256,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
257,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
258,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
259,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
260,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
261,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
262,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
263,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
264,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
265,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
266,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
267,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
268,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
269,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
270,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
271,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
272,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
273,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
274,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
275,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
276,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
277,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
278,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
279,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
280,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
281,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
282,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
283,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
284,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
285,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
286,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
287,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
288,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
289,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
290,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
291,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
292,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
293,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
294,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
295,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
296,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
297,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
298,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
299,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
300,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
301,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
302,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
303,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
304,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
305,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
306,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
307,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
308,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
309,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
310,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
311,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
312,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
313,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
314,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
315,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
316,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
317,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
318,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
319,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
320,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
321,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
322,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
323,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
324,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
325,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
326,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
327,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
328,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
329,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
330,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
331,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
